texto de referencia,Lugar de vivienda (codigo tienda/casa de Jean P.),Lugar de trabajo (codigo tienda/casa de Jean P.),nom privilégié,Prénom privilégié,Variante n°1 du Nom,Variante n°1 du Prénom,Variante n°2 du Nom,Variante nº du Nom,Variante n°2 du Prénom,Titulo,variante n°1 del Titulo,variante n°2 del Titulo,Métier / occupation,variante n°1 del Métier / occupation,variante n°2 del Métier / occupation,ultima religion conocida,fecha cuando se firma el contrato,Citation (sources) - copiar pegar ref abajo de la pagina,Lugar de trabajo (zona/barrio - siglos 13-14-15),Lugar de trabajo (nombre de calle - siglos 13-14-15),Lugar de trabajo (nota - indicaciones localizacion - siglos 13-14-15),Lugar de trabajo (nombre de tienda/casa - siglos 13-14-15),Lugar de trabajo (direccion exacta actual),Lugar de vivienda (zona/barrio - siglos 13-14-15),Lugar de vivienda (nombre de calle - siglos 13-14-15),Lugar de vivienda (nota - indicaciones localizacion - siglos 13-14-15),Lugar de vivienda (nombre tienda/casa - siglos 13-14-15),Lugar de vivienda (direccion exacta actual)
T21-ESTANTALES -OLIVA,CH_AB_02,CH_AB_02,Sánchez,Fernand,,,,,,,,, correero,,,,1408,"En 1391, 1396, 1401 et 1408, aux Estantales, la première des maisons que tenait Pascual Ruiz, capellán, est tenue par Fernand Sánchez, correero, perpetuas, depuis le 15/08/1380",Colación de San Yuste*,Estantales/ Tripería Vieja,aux Estantales,,"Sixto Ramón Parro, calle de. N°3b",,,,,
T21-ESTANTALES -OLIVA,CH_AB_02,CH_AB_02,Sánchez,Fernand,,,,,,,,, correero,,,,1412,"En 1412 et 1417, aux Estantales, Fernand Sánchez, correero, tient la maison que tenait Pascual Ruiz, capellán",Colación de San Yuste*,Estantales/ Tripería Vieja,aux Estantales,,"Sixto Ramón Parro, calle de. N°3b",,,,,
T21-ESTANTALES -OLIVA,CH_AB_02,CH_AB_02,Sánchez,Fernand,,,,,,,,, correero,,,,1417,"En 1412 et 1417, aux Estantales, Fernand Sánchez, correero, tient la maison que tenait Pascual Ruiz, capellán",Colación de San Yuste*,Estantales/ Tripería Vieja,aux Estantales,,"Sixto Ramón Parro, calle de. N°3b",,,,,
T21-ESTANTALES -OLIVA,CH_AB_02,CH_AB_02,García,Pascual,,,,,,,,,alfajeme,,,,9/07/ 1421,"Le 9/07/ 1421, le chapitre baille à Pascual García, alfajeme, et Marina García, sa femme, une maison",Colación de San Yuste*,Estantales/ Tripería Vieja,"une maison située a los Estantales, jouxtant d'un côté une maison bodega du chapitre tenue par l'archidiacre de Guadalajara (CH_AB_04) et de l'autre une maison bodega du chapitre tenue par Alfonso Ortiz, racionero (CH_AB_01)",,"Sixto Ramón Parro, calle de. N°3b",,,,,
T21-ESTANTALES -OLIVA,CH_AB_02,CH_AB_02,García,Marina,,,,,,,,,,,,,9/07/ 1421,"Le 9/07/ 1421, le chapitre baille à Pascual García, alfajeme, et Marina García, sa femme, une maison",Colación de San Yuste*,Estantales/ Tripería Vieja,"une maison située a los Estantales, jouxtant d'un côté une maison bodega du chapitre tenue par l'archidiacre de Guadalajara (CH_AB_04) et de l'autre une maison bodega du chapitre tenue par Alfonso Ortiz, racionero (CH_AB_01)",,"Sixto Ramón Parro, calle de. N°3b",,,,,
T21-ESTANTALES -OLIVA,CH_AB_02,CH_AB_02,Sanches,Fernand,Correjo, Sánchez,,,,,,,correero,,,,,Dans le titre il est indiqué que Fernand Sanches Correjo,Colación de San Yuste*,Estantales/ Tripería Vieja,,,"Sixto Ramón Parro, calle de. N°3b",,,,,
T21-ESTANTALES -OLIVA,CH_AB_02,CH_AB_02,García,Pascual,,,,,,,,,barbero,,,,9/07/1421,"En 1422, la maison que tenait Fernand Sánchez, correero, située aux Estantales, a été baillée le 9/07/1421, à Pascual García, barbero, et Marina García, sa femme (…) avec la caution de Fernand Alfonso, barbero",Colación de San Yuste*,Estantales/ Tripería Vieja,située aux Estantales,,"Sixto Ramón Parro, calle de. N°3b",,,,,
T21-ESTANTALES -OLIVA,CH_AB_02,CH_AB_02,García,Marina,,,,,,,,,,,,,9/07/1421,"En 1422, la maison que tenait Fernand Sánchez, correero, située aux Estantales, a été baillée le 9/07/1421, à Pascual García, barbero, et Marina García, sa femme (…) avec la caution de Fernand Alfonso, barbero",Colación de San Yuste*,Estantales/ Tripería Vieja,située aux Estantales,,"Sixto Ramón Parro, calle de. N°3b",,,,,
T21-ESTANTALES -OLIVA,CH_AB_02,CH_AB_02,de Jalopa,Pedro,,,,,,maestro de pedreria,Maestro de la obra de la capilla del Condestable,,,,,,20/12/1435,"Le 20/12/1435, le chapitre baille à Pedro Jalopa, maestro de pedreria, et à María Juan (de Valladolid) sa femme, une maison (…) avec la caution d'Alvar Martínez, maestro de la Obra de l'Église de Tolède",Colación de San Yuste*,Estantales/ Tripería Vieja,"une maison située à la colación de S. Yuste, a la Triperia Vieja, jouxtant une maison de l'église que tient Gonzalo García, carpintero, et María Rodríguez, sa femme, (blanc) et la rue, dont ont fait abandon en leur faveur Pascual García, barbero, et Marina García, sa femme",,"Sixto Ramón Parro, calle de. N°3b",,,,,
T21-ESTANTALES -OLIVA,CH_AB_02,CH_AB_02,Juan,María,de Valladolid,,,,,,,,,,,,20/12/1435,"Le 20/12/1435, le chapitre baille à Pedro Jalopa, maestro de pedreria, et à María Juan (de Valladolid) sa femme, une maison (…) avec la caution d'Alvar Martínez, maestro de la Obra de l'Église de Tolède",Colación de San Yuste*,Estantales/ Tripería Vieja,"une maison située à la colación de S. Yuste, a la Triperia Vieja, jouxtant une maison de l'église que tient Gonzalo García, carpintero, et María Rodríguez, sa femme, (blanc) et la rue, dont ont fait abandon en leur faveur Pascual García, barbero, et Marina García, sa femme",,"Sixto Ramón Parro, calle de. N°3b",,,,,
T21-ESTANTALES -OLIVA,CH_AB_02,CH_AB_02,de Jalopa,Pedro,,,,,,maestro de pedreria,Maestro de la obra de la capilla del Condestable,,,,,,6/11/1438," le 20/12/1425 (sic) à Pedro de Jalopa, maestro de la capilla del Condestable, et à María Juan sa femme, et le 6/11/1438, la maison a été baillée aux mêmes pour la vie d'un fils ou d'une fille (…)  avec la caution d'Alvar Martínez, maestro de la Obra",Colación de San Yuste*,Estantales/ Tripería Vieja,,,"Sixto Ramón Parro, calle de. N°3b",,,,,
T21-ESTANTALES -OLIVA,CH_AB_02,CH_AB_02,Juan,María,de Valladolid,,,,,,,,,,,,6/11/1438," le 20/12/1425 (sic) à Pedro de Jalopa, maestro de la capilla del Condestable, et à María Juan sa femme, et le 6/11/1438, la maison a été baillée aux mêmes pour la vie d'un fils ou d'une fille (…)  avec la caution d'Alvar Martínez, maestro de la Obra",Colación de San Yuste*,Estantales/ Tripería Vieja,,,"Sixto Ramón Parro, calle de. N°3b",,,,,
T21-ESTANTALES -OLIVA,CH_AB_02,CH_AB_02,de Palencia,Pedro,,,,,,,,,sombrerero,,,,8/08/1450,"Le 8/08/1450, le chapitre baille à Pedro de Palencia, sombrerero, et Catalina Rodríguez, sa femme, une maison (…)  auparavant tenue par Maestre Pedro Jalopa",Colación de San Yuste,Estantales/ Tripería Vieja,"une maison située à la colación de S. Yuste, jouxtant une maison tenue par Maestre Lope, carpintero (CH_AB_01), une maison tenue par Pedro García, recuero",,"Sixto Ramón Parro, calle de. N°3b",,,,,
T21-ESTANTALES -OLIVA,CH_AB_02,CH_AB_02,Rodríguez,Catalina,,,,,,,,,,,,,8/08/1450,"Le 8/08/1450, le chapitre baille à Pedro de Palencia, sombrerero, et Catalina Rodríguez, sa femme, une maison (…)  auparavant tenue par Maestre Pedro Jalopa",Colación de San Yuste,Estantales/ Tripería Vieja,"une maison située à la colación de S. Yuste, jouxtant une maison tenue par Maestre Lope, carpintero (CH_AB_01), une maison tenue par Pedro García, recuero",,"Sixto Ramón Parro, calle de. N°3b",,,,,
T21-ESTANTALES -OLIVA,CH_AB_02,CH_AB_02,Alemán,Mateo,,,,,,,,,sombrerero,,,,31/01/1454,"Le 31/01/1454,  le chapitre baille à Mateo Alemán, sombrerero, et sa femme (nom en blanc), une maison (…) Cette maison est celle que tenait auparavant Pedro García de Palencia, et les cautions sont Maestre Lope, carpintero, et Gudufre, pigellero. Le 30/09/1475 est entré comme caution Enrique Fernández, fils de Mateo (Alemán), et criado du jurado Gonzalo Rodríguez de Segura",Colación de San Yuste,Estantales/ Tripería Vieja," située a los Estantales, à la colación de S. Yuste, jouxtant une maison que tient Maestre Lope, carpintero (CH_AB_01), et une maison que tient Juan Rodríguez, pintor (CH_AB_03)",,"Sixto Ramón Parro, calle de. N°3b",,,,,
T21-ESTANTALES -OLIVA,CH_AB_02,CH_AB_02,,,,,,,,,,,,,,,31/01/1454,"Le 31/01/1454,  le chapitre baille à Mateo Alemán, sombrerero, et sa femme (nom en blanc), une maison (…) Cette maison est celle que tenait auparavant Pedro García de Palencia, et les cautions sont Maestre Lope, carpintero, et Gudufre, pigellero. Le 30/09/1475 est entré comme caution Enrique Fernández, fils de Mateo (Alemán), et criado du jurado Gonzalo Rodríguez de Segura",Colación de San Yuste,Estantales/ Tripería Vieja," située a los Estantales, à la colación de S. Yuste, jouxtant une maison que tient Maestre Lope, carpintero (CH_AB_01), et une maison que tient Juan Rodríguez, pintor (CH_AB_03)",,"Sixto Ramón Parro, calle de. N°3b",,,,,
T21-ESTANTALES -OLIVA,CH_AB_02,CH_AB_02,de Toledo,Isabel,,,,,,,,,,,,,24/03/1488,"Le 24/03/1488, Fernando de Torres, au nom d'Isabel de Toledo, fille de Mateo Alemán (ou Maestre Mateo, sombrero), montre qu'elle a été désignée par son père, le 13/09/1479, pour la maison qu'il tenait aux Estantales, à la colación de S. Yuste, et il s'oblige avec elle, comme sa caution",Colación de San Yuste,Estantales/ Tripería Vieja," la maison qu'il tenait aux Estantales, à la colación de S. Yuste",,"Sixto Ramón Parro, calle de. N°3b",,,,,
T21-ESTANTALES -OLIVA,CH_AB_03,CH_AB_03,de Robles,Barbola,,,,,,,,,,,,,1491,"En 1491, la maison que tenait auparavant Pedro García, carpintero, est maintenant tenue par Barbola de Robles",Colación de San Yuste*,Estantales/ Tripería Vieja,Elle jouxte d'un côté une maison de l'Église que tient Alfonso de la Cava (CH_AB_03) et de l'autre la maison susdite (CH_AB_01),,"Sixto Ramón Parro, calle de. N°3b",,,,,
T21-ESTANTALES -OLIVA,CH_AB_03,CH_AB_03,Ruiz,Pascual,,,,,,capellán,clérigo de la iglesia de S. Nicolás,,,,,,15/08/1371,"En 1372, Pascual Ruiz, capellán, tient une maison pour deux ans, depuis le 15/08/1371",Colación de San Yuste*,Estantales/ Tripería Vieja,"CH_AB_03, jouxtant CH_AB_02, aux Estantales, ou à la Tripería",,"Estantales, calle de los. Calle del Locum. N°1",,,,,
T21-ESTANTALES -OLIVA,CH_AB_03,CH_AB_03,Ruiz,Pascual,,,,,,capellán,clérigo de la iglesia de S. Nicolás,,,,,,15/08/1378,"En 1380, (avec CH_AB_02), les maisons que tenait Pascual Ruiz, capellán, lui ont été adjugées, pour deux ans, depuis le 15/08/1378",Colación de San Yuste*,Estantales/ Tripería Vieja,"CH_AB_03, jouxtant CH_AB_02, aux Estantales, ou à la Tripería",,"Estantales, calle de los. Calle del Locum. N°1",,,,,
T21-ESTANTALES -OLIVA,CH_AB_03,CH_AB_03,González,Juan,de Villarreal,,,,,,,,,,,,15/08/1382,"En 1391, Juan González de Villarreal a pris la maison que tenait auparavant Pascual Ruiz, capellán (…) avec l'autre maison que tenait Fernand Sánchez, correero",Colación de San Yuste*,Estantales/ Tripería Vieja,située a los Estantales,,"Estantales, calle de los. Calle del Locum. N°1",,,,,
T21-ESTANTALES -OLIVA,CH_AB_03,CH_AB_03,Miguel,Juan,de Ocaña,,,,,,,,,,,,26/04/1391,"Le 26/04/1391, le chapitre baille à Juan Miguel de Ocaña, fils de Juan Pérez de Chinchón, et à Beatriz Fernández, sa femme, une maison (…) avec l'obligation de réparer à leurs frais ce qui sera nécessaire d'ici la saint Michel de septembre de la même année, et pour caution Juan García, fils de (blanc), demeurant à la colación de S. Yuste",Colación de San Yuste*,Estantales/ Tripería Vieja,une maison située a la Triperia,,"Estantales, calle de los. Calle del Locum. N°1",,,,,
T21-ESTANTALES -OLIVA,CH_AB_03,CH_AB_03,Fernández,Beatriz,,,,,,,,,,,,,26/04/1391,"Le 26/04/1391, le chapitre baille à Juan Miguel de Ocaña, fils de Juan Pérez de Chinchón, et à Beatriz Fernández, sa femme, une maison (…) avec l'obligation de réparer à leurs frais ce qui sera nécessaire d'ici la saint Michel de septembre de la même année, et pour caution Juan García, fils de (blanc), demeurant à la colación de S. Yuste",Colación de San Yuste*,Estantales/ Tripería Vieja,une maison située a la Triperia,,"Estantales, calle de los. Calle del Locum. N°1",,,,,
T21-ESTANTALES -OLIVA,CH_AB_03,CH_AB_03,Fernández,García,,,,,,pertiguero du chapitre,,,,,,,1396,"En 1396, la maison que tenait Juan González de Villarreal a los Estantales, a d'abord été prise par Juan Miguel de Ocaña et sa femme, Beatriz Fernández (…) puis après son décès, par García Fernández, pertiguero du chapitre",Colación de San Yuste*,Estantales/ Tripería Vieja,a los Estantales,,"Estantales, calle de los. Calle del Locum. N°1",,,,,
T21-ESTANTALES -OLIVA,CH_AB_03,CH_AB_03,González,Alvar,,,,,,,,,cardador,,,,1401,"En 1401, 1408, 1412, et 1417, la maison que tenait Juan González de Villarreal, aux Estantales, a été prise par Alvar González, cardador, sa femme, María Sánchez, et son fils Juan (…) avec la caution de Diego Sánchez, cirujano",Colación de San Yuste*,Estantales/ Tripería Vieja,,,"Estantales, calle de los. Calle del Locum. N°1",,,,,
T21-ESTANTALES -OLIVA,CH_AB_03,CH_AB_03,Sánchez,María,,,,,,,,,,,,,1401,"En 1401, 1408, 1412, et 1417, la maison que tenait Juan González de Villarreal, aux Estantales, a été prise par Alvar González, cardador, sa femme, María Sánchez, et son fils Juan (…) avec la caution de Diego Sánchez, cirujano",Colación de San Yuste*,Estantales/ Tripería Vieja,,,"Estantales, calle de los. Calle del Locum. N°1",,,,,
T21-ESTANTALES -OLIVA,CH_AB_03,CH_AB_03,,Juan,,,,,,,,,,,,,1401,"En 1401, 1408, 1412, et 1417, la maison que tenait Juan González de Villarreal, aux Estantales, a été prise par Alvar González, cardador, sa femme, María Sánchez, et son fils Juan (…) avec la caution de Diego Sánchez, cirujano",Colación de San Yuste*,Estantales/ Tripería Vieja,,,"Estantales, calle de los. Calle del Locum. N°1",,,,,
T21-ESTANTALES -OLIVA,CH_AB_03,CH_AB_03,González,Alvar,,,,,,,,,cardador,,,,1408,"En 1401, 1408, 1412, et 1417, la maison que tenait Juan González de Villarreal, aux Estantales, a été prise par Alvar González, cardador, sa femme, María Sánchez, et son fils Juan (…) avec la caution de Diego Sánchez, cirujano",Colación de San Yuste*,Estantales/ Tripería Vieja,,,"Estantales, calle de los. Calle del Locum. N°1",,,,,
T21-ESTANTALES -OLIVA,CH_AB_03,CH_AB_03,Sánchez,María,,,,,,,,,,,,,1408,"En 1401, 1408, 1412, et 1417, la maison que tenait Juan González de Villarreal, aux Estantales, a été prise par Alvar González, cardador, sa femme, María Sánchez, et son fils Juan (…) avec la caution de Diego Sánchez, cirujano",Colación de San Yuste*,Estantales/ Tripería Vieja,,,"Estantales, calle de los. Calle del Locum. N°1",,,,,
T21-ESTANTALES -OLIVA,CH_AB_03,CH_AB_03,,Juan,,,,,,,,,,,,,1408,"En 1401, 1408, 1412, et 1417, la maison que tenait Juan González de Villarreal, aux Estantales, a été prise par Alvar González, cardador, sa femme, María Sánchez, et son fils Juan (…) avec la caution de Diego Sánchez, cirujano",Colación de San Yuste*,Estantales/ Tripería Vieja,,,"Estantales, calle de los. Calle del Locum. N°1",,,,,
T21-ESTANTALES -OLIVA,CH_AB_03,CH_AB_03,González,Alvar,,,,,,,,,cardador,,,,1412,"En 1401, 1408, 1412, et 1417, la maison que tenait Juan González de Villarreal, aux Estantales, a été prise par Alvar González, cardador, sa femme, María Sánchez, et son fils Juan (…) avec la caution de Diego Sánchez, cirujano",Colación de San Yuste*,Estantales/ Tripería Vieja,,,"Estantales, calle de los. Calle del Locum. N°1",,,,,
T21-ESTANTALES -OLIVA,CH_AB_03,CH_AB_03,Sánchez,María,,,,,,,,,,,,,1412,"En 1401, 1408, 1412, et 1417, la maison que tenait Juan González de Villarreal, aux Estantales, a été prise par Alvar González, cardador, sa femme, María Sánchez, et son fils Juan (…) avec la caution de Diego Sánchez, cirujano",Colación de San Yuste*,Estantales/ Tripería Vieja,,,"Estantales, calle de los. Calle del Locum. N°1",,,,,
T21-ESTANTALES -OLIVA,CH_AB_03,CH_AB_03,,Juan,,,,,,,,,,,,,1412,"En 1401, 1408, 1412, et 1417, la maison que tenait Juan González de Villarreal, aux Estantales, a été prise par Alvar González, cardador, sa femme, María Sánchez, et son fils Juan (…) avec la caution de Diego Sánchez, cirujano",Colación de San Yuste*,Estantales/ Tripería Vieja,,,"Estantales, calle de los. Calle del Locum. N°1",,,,,
T21-ESTANTALES -OLIVA,CH_AB_03,CH_AB_03,González,Alvar,,,,,,,,,cardador,,,,1417,"En 1401, 1408, 1412, et 1417, la maison que tenait Juan González de Villarreal, aux Estantales, a été prise par Alvar González, cardador, sa femme, María Sánchez, et son fils Juan (…) avec la caution de Diego Sánchez, cirujano",Colación de San Yuste*,Estantales/ Tripería Vieja,,,"Estantales, calle de los. Calle del Locum. N°1",,,,,
T21-ESTANTALES -OLIVA,CH_AB_03,CH_AB_03,Sánchez,María,,,,,,,,,,,,,1417,"En 1401, 1408, 1412, et 1417, la maison que tenait Juan González de Villarreal, aux Estantales, a été prise par Alvar González, cardador, sa femme, María Sánchez, et son fils Juan (…) avec la caution de Diego Sánchez, cirujano",Colación de San Yuste*,Estantales/ Tripería Vieja,,,"Estantales, calle de los. Calle del Locum. N°1",,,,,
T21-ESTANTALES -OLIVA,CH_AB_03,CH_AB_03,,Juan,,,,,,,,,,,,,1417,"En 1401, 1408, 1412, et 1417, la maison que tenait Juan González de Villarreal, aux Estantales, a été prise par Alvar González, cardador, sa femme, María Sánchez, et son fils Juan (…) avec la caution de Diego Sánchez, cirujano",Colación de San Yuste*,Estantales/ Tripería Vieja,,,"Estantales, calle de los. Calle del Locum. N°1",,,,,
T21-ESTANTALES -OLIVA,CH_AB_03,CH_AB_03,González,Alvar,,,,,,,,,cardador,,,,1422," En 1422, la maison que tenait Juan González de Villarreal aux Estantales a été prise, perpetuas e por reparadas, par Alvar González, cardador, sa femme María Sánchez, et son fils Juan (…) avec la caution de Diego Sánchez, cirujano. Mais Alvar González ne paie que le premier terme, soit 43 mrs., puis s'en va, en laissant la maison en ruines: Estas casas se derribaron por quanto se fue el que morava en ellas e non pago mas de un terçio",Colación de San Yuste*,Estantales/ Tripería Vieja,aux Estantales,,"Estantales, calle de los. Calle del Locum. N°1",,,,,
T21-ESTANTALES -OLIVA,CH_AB_03,CH_AB_03,Sánchez,María,,,,,,,,,,,,,1422," En 1422, la maison que tenait Juan González de Villarreal aux Estantales a été prise, perpetuas e por reparadas, par Alvar González, cardador, sa femme María Sánchez, et son fils Juan (…) avec la caution de Diego Sánchez, cirujano. Mais Alvar González ne paie que le premier terme, soit 43 mrs., puis s'en va, en laissant la maison en ruines: Estas casas se derribaron por quanto se fue el que morava en ellas e non pago mas de un terçio",Colación de San Yuste*,Estantales/ Tripería Vieja,aux Estantales,,"Estantales, calle de los. Calle del Locum. N°1",,,,,
T21-ESTANTALES -OLIVA,CH_AB_03,CH_AB_03,,Juan,,,,,,,,,,,,,1422," En 1422, la maison que tenait Juan González de Villarreal aux Estantales a été prise, perpetuas e por reparadas, par Alvar González, cardador, sa femme María Sánchez, et son fils Juan (…) avec la caution de Diego Sánchez, cirujano. Mais Alvar González ne paie que le premier terme, soit 43 mrs., puis s'en va, en laissant la maison en ruines: Estas casas se derribaron por quanto se fue el que morava en ellas e non pago mas de un terçio",Colación de San Yuste*,Estantales/ Tripería Vieja,aux Estantales,,"Estantales, calle de los. Calle del Locum. N°1",,,,,
T21-ESTANTALES -OLIVA,CH_AB_03,CH_AB_03,Sánchez,Alfonso,,,,,,,,,zapatero,,,,14/02/1425,"Le 14/02/1425, le chapitre baille à Alfonso Sánchez, zapatero, demeurant à la colación de la Magdalena, et à sa femme, Sol González, une maison en ruines",Colación de San Yuste*,Estantales/ Tripería Vieja,"située a la calle que disen de los Estantales, jouxtant vers le bas une maison du chapitre et vers le haut une maison d'Alfonso Sánchez, zapatero",,"Estantales, calle de los. Calle del Locum. N°1",,,,,
T21-ESTANTALES -OLIVA,CH_AB_03,CH_AB_03,González,Sol,,,,,,,,,,,,,14/02/1425,"Le 14/02/1425, le chapitre baille à Alfonso Sánchez, zapatero, demeurant à la colación de la Magdalena, et à sa femme, Sol González, une maison en ruines",Colación de San Yuste*,Estantales/ Tripería Vieja,"située a la calle que disen de los Estantales, jouxtant vers le bas une maison du chapitre et vers le haut une maison d'Alfonso Sánchez, zapatero",,"Estantales, calle de los. Calle del Locum. N°1",,,,,
T21-ESTANTALES -OLIVA,CH_AB_03,CH_AB_03,Ruiz,Fernand,,,,,,,,,cerero,,,,5/02/1438,"En 1439, la maison que tenait auparavant Sol González, est tenue par Fernand Ruiz, pour 230 mrs., depuis le 5/02/1438",Colación de San Yuste*,Estantales/ Tripería Vieja,"Elle jouxte d'un côté une maison de l'Église et de l'autre une maison de Pedro García, cubero",,"Estantales, calle de los. Calle del Locum. N°1",,,,,
T21-ESTANTALES -OLIVA,CH_AB_03,CH_AB_03,Ruiz,Fernand,,,,,,,,,cerero,,,,1443,"En 1443, la maison que tenait Sol González, à cens, aux Estantales, a été baillée, perpetuas e por reparadas, le 5/02/1428, à Fernand Ruiz, cerero. (…) Les trois termes de l'année 1443 ont été payés par Martín García (ou González), molinero",Colación de San Yuste*,Estantales/ Tripería Vieja,aux Estantales,,"Estantales, calle de los. Calle del Locum. N°1",,,,,
T21-ESTANTALES -OLIVA,CH_AB_03,CH_AB_03,Ruiz,Catalina ,,,,,,,,,,,,,22/05/1447," Le 22/05/1447, Catalina Ruiz, femme de Fernand Ruiz de Ocio, sarguero, vecinos d'Alcalá de Henares, vend, avec pouvoir de son mari, à Alfonso Martínez, tesorero et chanoine, et à Gonzalo González de San Miguel, son criado, en son nom, une maison bodega,  con un lagar e viga e piedra e fusillo e pertrechos, avec ses cámaras au dessus, et deux portes qui donnent sur la rue",Colación de San Yuste,Estantales/ Tripería Vieja,"à la colación de S. Yuste, en los Estantales, jouxtant une maison du même Alfonso Martínez, l'adarve dit de Pedro Cornejo",,"Estantales, calle de los. Calle del Locum. N°1",,,,,
T21-ESTANTALES -OLIVA,CH_AB_03,CH_AB_03,Ruiz,Fernand,de Ocio,,,,,,,,sarguero,,,,22/05/1447," Le 22/05/1447, Catalina Ruiz, femme de Fernand Ruiz de Ocio, sarguero, vecinos d'Alcalá de Henares, vend, avec pouvoir de son mari, à Alfonso Martínez, tesorero et chanoine, et à Gonzalo González de San Miguel, son criado, en son nom, une maison bodega,  con un lagar e viga e piedra e fusillo e pertrechos, avec ses cámaras au dessus, et deux portes qui donnent sur la rue",Colación de San Yuste,Estantales/ Tripería Vieja,"à la colación de S. Yuste, en los Estantales, jouxtant une maison du même Alfonso Martínez, l'adarve dit de Pedro Cornejo",,"Estantales, calle de los. Calle del Locum. N°1",,,,,
T21-ESTANTALES -OLIVA,CH_AB_03,CH_AB_03,Martínez,Alfonso,,,,,,tesorero de la Catedral de Toledo,canónigo,,,,,,22/05/1447," Le 22/05/1447, Catalina Ruiz, femme de Fernand Ruiz de Ocio, sarguero, vecinos d'Alcalá de Henares, vend, avec pouvoir de son mari, à Alfonso Martínez, tesorero et chanoine, et à Gonzalo González de San Miguel, son criado, en son nom, une maison bodega,  con un lagar e viga e piedra e fusillo e pertrechos, avec ses cámaras au dessus, et deux portes qui donnent sur la rue",Colación de San Yuste,Estantales/ Tripería Vieja,"à la colación de S. Yuste, en los Estantales, jouxtant une maison du même Alfonso Martínez, l'adarve dit de Pedro Cornejo",,"Estantales, calle de los. Calle del Locum. N°1",,,,,
T21-ESTANTALES -OLIVA,CH_AB_03,CH_AB_03,González,Gonzalo,de San Miguel,,,,,,,,criado de Alfonso Martínez,,,,22/05/1447," Le 22/05/1447, Catalina Ruiz, femme de Fernand Ruiz de Ocio, sarguero, vecinos d'Alcalá de Henares, vend, avec pouvoir de son mari, à Alfonso Martínez, tesorero et chanoine, et à Gonzalo González de San Miguel, son criado, en son nom, une maison bodega,  con un lagar e viga e piedra e fusillo e pertrechos, avec ses cámaras au dessus, et deux portes qui donnent sur la rue",Colación de San Yuste,Estantales/ Tripería Vieja,"à la colación de S. Yuste, en los Estantales, jouxtant une maison du même Alfonso Martínez, l'adarve dit de Pedro Cornejo",,"Estantales, calle de los. Calle del Locum. N°1",,,,,
T21-ESTANTALES -OLIVA,CH_AB_03,CH_AB_03,Martínez,Alfonso,,,,,,tesorero de la Catedral de Toledo,canónigo,,,,,,1450,"En 1450, la maison qu'avait tenue Sol González, a été donnée à cens, le 29/05/1447, à don Alfonso Martínez, tesorero de l'Église de Tolède",Colación de San Yuste*,Estantales/ Tripería Vieja,,,"Estantales, calle de los. Calle del Locum. N°1",,,,,
T21-ESTANTALES -OLIVA,CH_AB_03,CH_AB_03,Rodríguez,Juan,,,,,,,,,pintor,,,, 9/06/1452,"Le 9/06/1452, le chapitre baille à Juan Rodríguez, pintor, une maison (…) avec le sotanillo qui se trouve sous la maison, pour sa vie et celle d'Ana Rodríguez, sa femme (…)  avec la caution de García Fernández de Segovia, son beau-père, et d'Alfonso Rodríguez, pintor",Colación de San Yuste,Estantales/ Tripería Vieja,"jouxtant une maison pressoir également laissée au chapitre par Alfonso Martínez, une maison que tient Pedro de Palencia, sombrerero (CH_AB_02), et la rue, avec le sotanillo qui se trouve sous la maison",,"Estantales, calle de los. Calle del Locum. N°1",,,,,
T21-ESTANTALES -OLIVA,CH_AB_03,CH_AB_03,Rodríguez,Ana,,,,,,,,,,,,, 9/06/1452,"Le 9/06/1452, le chapitre baille à Juan Rodríguez, pintor, une maison (…) avec le sotanillo qui se trouve sous la maison, pour sa vie et celle d'Ana Rodríguez, sa femme (…)  avec la caution de García Fernández de Segovia, son beau-père, et d'Alfonso Rodríguez, pintor",Colación de San Yuste,Estantales/ Tripería Vieja,"jouxtant une maison pressoir également laissée au chapitre par Alfonso Martínez, une maison que tient Pedro de Palencia, sombrerero (CH_AB_02), et la rue, avec le sotanillo qui se trouve sous la maison",,"Estantales, calle de los. Calle del Locum. N°1",,,,,
T21-ESTANTALES -OLIVA,CH_AB_03,CH_AB_03,Rodríguez,Alfonso,,,,,,,,,pintor,,,,1465,"En 1465, par contre il est dit que la maison (CH_AB_03) a été baillée à Alfonso Rodríguez, pintor, sans la maison où se trouve le pressoir, avec sa cámara",Colación de San Yuste*,Estantales/ Tripería Vieja,,,"Estantales, calle de los. Calle del Locum. N°1",,,,,
T21-ESTANTALES -OLIVA,CH_AB_03,CH_AB_03,Rodríguez,́Francisca,,,,,,,,,,,,,1482,"En 1482, la maison que tenait Juan Rodriguez, pintor, a été baillée à ́Francisca Rodríguez, fille de ce Juan Rodríguez (…) avec la caution de Diego González de Ayllón, racionero, et de Pedro González de Herrera, trapero. Le 13/10/1481, à la place de Diego González de Ayllón, décédé, Francisca Rodríguez a donné la caution de Juan de Villarreal, carpintero.",Colación de San Yuste*,Estantales/ Tripería Vieja,,,"Estantales, calle de los. Calle del Locum. N°1",,,,,
